"extension","instruction form","class","level0","level1","level2"
"avx512dq","KADDB K, K, K","turbo0","1117288733","0","0"
"avx512bw","KADDD K, K, K","turbo0","1114221041","0","0"
"avx512bw","KADDQ K, K, K","turbo0","1113266963","0","0"
"avx512dq","KADDW K, K, K","turbo0","1113194729","0","0"
"avx512dq","KANDB K, K, K","turbo0","1111378522","0","0"
"avx512bw","KANDD K, K, K","turbo0","1110681079","0","0"
"avx512dq","KANDNB K, K, K","turbo0","1111726483","0","0"
"avx512bw","KANDND K, K, K","turbo0","1111251407","0","0"
"avx512bw","KANDNQ K, K, K","turbo0","1111608577","0","0"
"avx512f","KANDNW K, K, K","turbo0","1111519620","0","0"
"avx512bw","KANDQ K, K, K","turbo0","1111804602","0","0"
"avx512f","KANDW K, K, K","turbo0","1111716991","0","0"
"avx512dq","KMOVB K, K","turbo0","1094162956","0","0"
"avx512dq","KMOVB K, mem","turbo0","1116212247","0","0"
"avx512dq","KMOVB K, reg","turbo0","1095437198","0","0"
"avx512dq","KMOVB mem, K","turbo0","1109186325","0","0"
"avx512dq","KMOVB reg, K","turbo0","1093842769","0","0"
"avx512bw","KMOVD K, K","turbo0","1093595627","0","0"
"avx512bw","KMOVD K, mem","turbo0","1115439254","0","0"
"avx512bw","KMOVD K, reg","turbo0","1094872806","0","0"
"avx512bw","KMOVD mem, K","turbo0","1109701251","0","0"
"avx512bw","KMOVD reg, K","turbo0","1093861550","0","0"
"avx512bw","KMOVQ K, K","turbo0","1093528550","0","0"
"avx512bw","KMOVQ K, mem","turbo0","1115752286","0","0"
"avx512bw","KMOVQ K, reg","turbo0","1095032999","0","0"
"avx512bw","KMOVQ mem, K","turbo0","1109305082","0","0"
"avx512bw","KMOVQ reg, K","turbo0","1094045311","0","0"
"avx512f","KMOVW K, K","turbo0","1094056970","0","0"
"avx512f","KMOVW K, mem","turbo0","1115718312","0","0"
"avx512f","KMOVW K, reg","turbo1","0","406625","0"
"avx512f","KMOVW mem, K","turbo0","1109312794","0","0"
"avx512f","KMOVW reg, K","turbo0","1093767111","0","0"
"avx512dq","KNOTB K, K","turbo0","1094028946","0","0"
"avx512bw","KNOTD K, K","turbo0","1094003814","0","0"
"avx512bw","KNOTQ K, K","turbo0","1093974177","0","0"
"avx512f","KNOTW K, K","turbo0","1093546814","0","0"
"avx512dq","KORB K, K, K","turbo0","1111549208","0","0"
"avx512bw","KORD K, K, K","turbo0","1111253011","0","0"
"avx512bw","KORQ K, K, K","turbo0","1111675867","0","0"
"avx512dq","KORTESTB K, K","turbo0","1094631027","0","0"
"avx512bw","KORTESTD K, K","turbo0","1094670848","0","0"
"avx512bw","KORTESTQ K, K","turbo0","1094948869","0","0"
"avx512f","KORTESTW K, K","turbo0","1094259535","0","0"
"avx512f","KORW K, K, K","turbo0","1111099381","0","0"
"avx512dq","KSHIFTLB imm, K, K","turbo0","1097542734","0","0"
"avx512bw","KSHIFTLD imm, K, K","turbo0","1095685680","0","0"
"avx512bw","KSHIFTLQ imm, K, K","turbo0","1095609979","0","0"
"avx512f","KSHIFTLW imm, K, K","turbo0","1096176907","0","0"
"avx512dq","KSHIFTRB imm, K, K","turbo0","1096226399","0","0"
"avx512bw","KSHIFTRD imm, K, K","turbo0","1095934641","0","0"
"avx512bw","KSHIFTRQ imm, K, K","turbo0","1097363672","0","0"
"avx512f","KSHIFTRW imm, K, K","turbo0","1095461973","0","0"
"avx512dq","KTESTB K, K","turbo0","1094629917","0","0"
"avx512bw","KTESTD K, K","turbo0","1094705607","0","0"
"avx512bw","KTESTQ K, K","turbo0","1094200133","0","0"
"avx512dq","KTESTW K, K","turbo0","1094924844","0","0"
"avx512f","KUNPCKBW K, K, K","turbo0","1113861141","0","0"
"avx512bw","KUNPCKDQ K, K, K","turbo0","1119394700","0","0"
"avx512bw","KUNPCKWD K, K, K","turbo0","1112942487","0","0"
"avx512dq","KXNORB K, K, K","turbo0","1111143092","0","0"
"avx512bw","KXNORD K, K, K","turbo0","1111475952","0","0"
"avx512bw","KXNORQ K, K, K","turbo0","1111541541","0","0"
"avx512f","KXNORW K, K, K","turbo0","1111526348","0","0"
"avx512dq","KXORB K, K, K","turbo0","1111639062","0","0"
"avx512bw","KXORD K, K, K","turbo0","1535021108","0","0"
"avx512bw","KXORQ K, K, K","turbo0","1111148958","0","0"
"avx512f","KXORW K, K, K","turbo0","1111265490","0","0"
"avx512f","VADDPD X, X, K, X","turbo0","1215668526","0","0"
"avx512f","VADDPD Y, Y, K, Y","turbo0","1216109818","0","0"
"avx512f","VADDPD Z, Z, K, Z","turbo2","580415","32508","1162181753"
"avx512f","VADDPD mem, X, K, X","turbo0","1311008282","0","0"
"avx512f","VADDPD mem, Y, K, Y","turbo0","1312123637","0","0"
"avx512f","VADDPD mem, Z, K, Z","turbo1","547724","1188407161","0"
"avx512f","VADDPS X, X, K, X","turbo0","1215366232","0","0"
"avx512f","VADDPS Y, Y, K, Y","turbo0","1215870871","0","0"
"avx512f","VADDPS Z, Z, K, Z","turbo2","572499","52561","1206122045"
"avx512f","VADDPS mem, X, K, X","turbo0","1311188389","0","0"
"avx512f","VADDPS mem, Y, K, Y","turbo0","1312218845","0","0"
"avx512f","VADDPS mem, Z, K, Z","turbo1","592306","1231588212","0"
"avx512f","VADDSD X, X, K, X","turbo0","1153839033","0","0"
"avx512f","VADDSD mem, X, K, X","turbo0","1310619820","0","0"
"avx512f","VADDSS X, X, K, X","turbo0","1153621882","0","0"
"avx512f","VADDSS mem, X, K, X","turbo0","1311721193","0","0"
"avx512f","VALIGND imm, X, X, K, X","turbo0","1061956430","0","0"
"avx512f","VALIGND imm, Y, Y, K, Y","turbo0","1160366388","0","0"
"avx512f","VALIGND imm, Z, Z, K, Z","turbo1","572529","1163983704","0"
"avx512f","VALIGND imm, mem, X, K, X","turbo0","1099021484","0","0"
"avx512f","VALIGND imm, mem, Y, K, Y","turbo0","1231099418","0","0"
"avx512f","VALIGND imm, mem, Z, K, Z","turbo1","633423","1191749634","0"
"avx512f","VALIGNQ imm, X, X, K, X","turbo0","1062177228","0","0"
"avx512f","VALIGNQ imm, Y, Y, K, Y","turbo0","1159914101","0","0"
"avx512f","VALIGNQ imm, Z, Z, K, Z","turbo1","575172","1176314600","0"
"avx512f","VALIGNQ imm, mem, X, K, X","turbo0","1102509945","0","0"
"avx512f","VALIGNQ imm, mem, Y, K, Y","turbo0","1230995605","0","0"
"avx512f","VALIGNQ imm, mem, Z, K, Z","turbo1","564036","1177525418","0"
"avx512dq","VANDNPD X, X, K, X","turbo0","1090920887","0","0"
"avx512dq","VANDNPD Y, Y, K, Y","turbo0","1092170350","0","0"
"avx512dq","VANDNPD Z, Z, K, Z","turbo1","566139","1091972500","0"
"avx512dq","VANDNPD mem, X, K, X","turbo0","1106685634","0","0"
"avx512dq","VANDNPD mem, Y, K, Y","turbo0","1107531638","0","0"
"avx512dq","VANDNPD mem, Z, K, Z","turbo1","496266","1096636813","0"
"avx512dq","VANDNPS X, X, K, X","turbo0","1098395731","0","0"
"avx512dq","VANDNPS Y, Y, K, Y","turbo0","1096335360","0","0"
"avx512dq","VANDNPS Z, Z, K, Z","turbo1","575805","1090661128","0"
"avx512dq","VANDNPS mem, X, K, X","turbo0","1108003557","0","0"
"avx512dq","VANDNPS mem, Y, K, Y","turbo0","1107521379","0","0"
"avx512dq","VANDNPS mem, Z, K, Z","turbo1","561699","1096459226","0"
"avx512dq","VANDPD X, X, K, X","turbo0","1099810287","0","0"
"avx512dq","VANDPD Y, Y, K, Y","turbo0","1105064301","0","0"
"avx512dq","VANDPD Z, Z, K, Z","turbo1","562822","1092215814","0"
"avx512dq","VANDPD mem, X, K, X","turbo0","1107144585","0","0"
"avx512dq","VANDPD mem, Y, K, Y","turbo0","1101925650","0","0"
"avx512dq","VANDPD mem, Z, K, Z","turbo1","599032","1108410804","0"
"avx512dq","VANDPS X, X, K, X","turbo0","1102608679","0","0"
"avx512dq","VANDPS Y, Y, K, Y","turbo0","1098273637","0","0"
"avx512dq","VANDPS Z, Z, K, Z","turbo1","569318","1090518250","0"
"avx512dq","VANDPS mem, X, K, X","turbo0","1107322338","0","0"
"avx512dq","VANDPS mem, Y, K, Y","turbo0","1107608297","0","0"
"avx512dq","VANDPS mem, Z, K, Z","turbo1","560144","1099768871","0"
"avx512f","VBLENDMPD X, X, K, X","turbo0","1064443565","0","0"
"avx512f","VBLENDMPD Y, Y, K, Y","turbo0","1064203957","0","0"
"avx512f","VBLENDMPD Z, Z, K, Z","turbo1","550677","1070860286","0"
"avx512f","VBLENDMPD mem, X, K, X","turbo0","1086550845","0","0"
"avx512f","VBLENDMPD mem, Y, K, Y","turbo0","1086306390","0","0"
"avx512f","VBLENDMPD mem, Z, K, Z","turbo1","544681","1088248157","0"
"avx512f","VBLENDMPS X, X, K, X","turbo0","1063929964","0","0"
"avx512f","VBLENDMPS Y, Y, K, Y","turbo0","1064211084","0","0"
"avx512f","VBLENDMPS Z, Z, K, Z","turbo1","557296","1076742178","0"
"avx512f","VBLENDMPS mem, X, K, X","turbo0","1087806717","0","0"
"avx512f","VBLENDMPS mem, Y, K, Y","turbo0","1086387075","0","0"
"avx512f","VBLENDMPS mem, Z, K, Z","turbo1","580184","1098461192","0"
"avx512dq","VBROADCASTF32X2 X, K, Y","turbo0","1107280901","0","0"
"avx512dq","VBROADCASTF32X2 X, K, Z","turbo1","627798","1153886734","0"
"avx512dq","VBROADCASTF32X2 mem, K, Y","turbo0","1104125615","0","0"
"avx512dq","VBROADCASTF32X2 mem, K, Z","turbo1","608670","1098634212","0"
"avx512f","VBROADCASTF32X4 mem, K, Y","turbo0","1101340685","0","0"
"avx512f","VBROADCASTF32X4 mem, K, Z","turbo1","572830","1098556830","0"
"avx512dq","VBROADCASTF32X8 mem, K, Z","turbo1","531944","1099259756","0"
"avx512dq","VBROADCASTF64X2 mem, K, Y","turbo0","1104080955","0","0"
"avx512dq","VBROADCASTF64X2 mem, K, Z","turbo1","608825","1098511813","0"
"avx512f","VBROADCASTF64X4 mem, K, Z","turbo1","548549","1098597984","0"
"avx512dq","VBROADCASTI32X2 X, K, X","turbo0","1104351779","0","0"
"avx512dq","VBROADCASTI32X2 X, K, Y","turbo0","1106435268","0","0"
"avx512dq","VBROADCASTI32X2 X, K, Z","turbo1","561577","1146008404","0"
"avx512dq","VBROADCASTI32X2 mem, K, X","turbo0","1103446745","0","0"
"avx512dq","VBROADCASTI32X2 mem, K, Y","turbo0","1104449542","0","0"
"avx512dq","VBROADCASTI32X2 mem, K, Z","turbo1","563023","1098739299","0"
"avx512f","VBROADCASTI32X4 mem, K, Y","turbo0","1101376178","0","0"
"avx512f","VBROADCASTI32X4 mem, K, Z","turbo1","569509","1098449485","0"
"avx512dq","VBROADCASTI32X8 mem, K, Z","turbo1","568700","1098808262","0"
"avx512dq","VBROADCASTI64X2 mem, K, Y","turbo0","1103798025","0","0"
"avx512dq","VBROADCASTI64X2 mem, K, Z","turbo1","622889","1098581667","0"
"avx512f","VBROADCASTI64X4 mem, K, Z","turbo1","560855","1098396186","0"
"avx512f","VBROADCASTSD X, K, Y","turbo0","1159368047","0","0"
"avx512f","VBROADCASTSD X, K, Z","turbo1","577766","1112074782","0"
"avx512f","VBROADCASTSD mem, K, Y","turbo0","1101136514","0","0"
"avx512f","VBROADCASTSD mem, K, Z","turbo1","571954","1098891437","0"
"avx512f","VBROADCASTSS X, K, X","turbo0","1144597130","0","0"
"avx512f","VBROADCASTSS X, K, Y","turbo0","1159801057","0","0"
"avx512f","VBROADCASTSS X, K, Z","turbo1","544716","1111794263","0"
"avx512f","VBROADCASTSS mem, K, X","turbo0","1099393417","0","0"
"avx512f","VBROADCASTSS mem, K, Y","turbo0","1101414988","0","0"
"avx512f","VBROADCASTSS mem, K, Z","turbo1","572947","1098598291","0"
"avx512f","VCMPPD imm, X, X, K, K","turbo0","1143423837","0","0"
"avx512f","VCMPPD imm, Y, Y, K, K","turbo0","1139309535","0","0"
"avx512f","VCMPPD imm, Z, Z, K, K","turbo1","563602","1119188864","0"
"avx512f","VCMPPD imm, mem, X, K, K","turbo0","1188071747","0","0"
"avx512f","VCMPPD imm, mem, Y, K, K","turbo0","1184670589","0","0"
"avx512f","VCMPPD imm, mem, Z, K, K","turbo1","556348","1218060041","0"
"avx512f","VCMPPS imm, X, X, K, K","turbo0","1086097209","0","0"
"avx512f","VCMPPS imm, Y, Y, K, K","turbo0","1085406355","0","0"
"avx512f","VCMPPS imm, Z, Z, K, K","turbo1","570377","1111509969","0"
"avx512f","VCMPPS imm, mem, X, K, K","turbo0","1116778265","0","0"
"avx512f","VCMPPS imm, mem, Y, K, K","turbo0","1116908902","0","0"
"avx512f","VCMPPS imm, mem, Z, K, K","turbo1","582661","1131304776","0"
"avx512f","VCMPSD imm, X, X, K, K","turbo0","1095856247","0","0"
"avx512f","VCMPSD imm, mem, X, K, K","turbo0","1116275434","0","0"
"avx512f","VCMPSS imm, X, X, K, K","turbo0","1095649211","0","0"
"avx512f","VCMPSS imm, mem, X, K, K","turbo0","1117442147","0","0"
"avx512f","VCOMISD X, X","turbo0","1062002133","0","0"
"avx512f","VCOMISS X, X","turbo0","1062359707","0","0"
"avx512f","VCOMPRESSPD X, K, X","turbo0","1167816115","0","0"
"avx512f","VCOMPRESSPD X, K, mem","turbo0","1156754764","0","0"
"avx512f","VCOMPRESSPD Y, K, Y","turbo0","1167595531","0","0"
"avx512f","VCOMPRESSPD Y, K, mem","turbo0","1156676751","0","0"
"avx512f","VCOMPRESSPD Z, K, Z","turbo1","612957","1177574911","0"
"avx512f","VCOMPRESSPD Z, K, mem","turbo1","582951","1180156459","0"
"avx512f","VCOMPRESSPS X, K, X","turbo0","1168056346","0","0"
"avx512f","VCOMPRESSPS X, K, mem","turbo0","1156622464","0","0"
"avx512f","VCOMPRESSPS Y, K, Y","turbo0","1167865138","0","0"
"avx512f","VCOMPRESSPS Y, K, mem","turbo0","1157644052","0","0"
"avx512f","VCOMPRESSPS Z, K, Z","turbo1","578169","1180178640","0"
"avx512f","VCOMPRESSPS Z, K, mem","turbo1","569135","1180202790","0"
"avx512f","VCVTDQ2PD X, K, X","turbo0","1260424349","0","0"
"avx512f","VCVTDQ2PD X, K, Y","turbo0","1216763674","0","0"
"avx512f","VCVTDQ2PD Y, K, Z","turbo1","588587","1153668752","0"
"avx512f","VCVTDQ2PD mem, K, X","turbo0","1311525612","0","0"
"avx512f","VCVTDQ2PD mem, K, Y","turbo0","1311961203","0","0"
"avx512f","VCVTDQ2PD mem, K, Z","turbo1","615447","1188646981","0"
"avx512f","VCVTDQ2PS X, K, X","turbo0","1215606914","0","0"
"avx512f","VCVTDQ2PS Y, K, Y","turbo0","1216327038","0","0"
"avx512f","VCVTDQ2PS Z, K, Z","turbo1","574213","1206051367","0"
"avx512f","VCVTDQ2PS mem, K, X","turbo0","1311420254","0","0"
"avx512f","VCVTDQ2PS mem, K, Y","turbo0","1312719217","0","0"
"avx512f","VCVTDQ2PS mem, K, Z","turbo1","582742","1188437353","0"
