"extension","instruction form","class","level0","level1","level2"
"avx512dq","KADDB K, K, K","turbo0","1122673761","0","0"
"avx512bw","KADDD K, K, K","turbo0","1119499516","0","0"
"avx512bw","KADDQ K, K, K","turbo0","1118305661","0","0"
"avx512dq","KADDW K, K, K","turbo0","1118301977","0","0"
"avx512dq","KANDB K, K, K","turbo0","1116550476","0","0"
"avx512bw","KANDD K, K, K","turbo0","1117673588","0","0"
"avx512dq","KANDNB K, K, K","turbo0","1116028465","0","0"
"avx512bw","KANDND K, K, K","turbo0","1116180386","0","0"
"avx512bw","KANDNQ K, K, K","turbo0","1115946602","0","0"
"avx512f","KANDNW K, K, K","turbo0","1116248645","0","0"
"avx512bw","KANDQ K, K, K","turbo0","1115799817","0","0"
"avx512f","KANDW K, K, K","turbo0","1115695964","0","0"
"avx512dq","KMOVB K, K","turbo0","1098849878","0","0"
"avx512dq","KMOVB K, mem","turbo0","1127964944","0","0"
"avx512dq","KMOVB K, reg","turbo0","1100015893","0","0"
"avx512dq","KMOVB mem, K","turbo0","1114511735","0","0"
"avx512dq","KMOVB reg, K","turbo0","1099296753","0","0"
"avx512bw","KMOVD K, K","turbo0","1099320386","0","0"
"avx512bw","KMOVD K, mem","turbo0","1128375896","0","0"
"avx512bw","KMOVD K, reg","turbo0","1099113720","0","0"
"avx512bw","KMOVD mem, K","turbo0","1115357762","0","0"
"avx512bw","KMOVD reg, K","turbo0","1099482448","0","0"
"avx512bw","KMOVQ K, K","turbo0","1098063531","0","0"
"avx512bw","KMOVQ K, mem","turbo0","1127584180","0","0"
"avx512bw","KMOVQ K, reg","turbo0","1099947941","0","0"
"avx512bw","KMOVQ mem, K","turbo0","1114846142","0","0"
"avx512bw","KMOVQ reg, K","turbo0","1099243732","0","0"
"avx512f","KMOVW K, K","turbo0","1098943181","0","0"
"avx512f","KMOVW K, mem","turbo0","1127735022","0","0"
"avx512f","KMOVW K, reg","turbo1","0","92858444","0"
"avx512f","KMOVW mem, K","turbo0","1114451187","0","0"
"avx512f","KMOVW reg, K","turbo0","1099811360","0","0"
"avx512dq","KNOTB K, K","turbo0","1099110021","0","0"
"avx512bw","KNOTD K, K","turbo0","1099001148","0","0"
"avx512bw","KNOTQ K, K","turbo0","1098873053","0","0"
"avx512f","KNOTW K, K","turbo0","1098924989","0","0"
"avx512dq","KORB K, K, K","turbo0","1116372739","0","0"
"avx512bw","KORD K, K, K","turbo0","1116318460","0","0"
"avx512bw","KORQ K, K, K","turbo0","1116051805","0","0"
"avx512dq","KORTESTB K, K","turbo0","1100216763","0","0"
"avx512bw","KORTESTD K, K","turbo0","1100201618","0","0"
"avx512bw","KORTESTQ K, K","turbo0","1099558100","0","0"
"avx512f","KORTESTW K, K","turbo0","1100182255","0","0"
"avx512f","KORW K, K, K","turbo0","1115534860","0","0"
"avx512dq","KSHIFTLB imm, K, K","turbo0","1102635895","0","0"
"avx512bw","KSHIFTLD imm, K, K","turbo0","1101991433","0","0"
"avx512bw","KSHIFTLQ imm, K, K","turbo0","1100945144","0","0"
"avx512f","KSHIFTLW imm, K, K","turbo0","1101594029","0","0"
"avx512dq","KSHIFTRB imm, K, K","turbo0","1102303685","0","0"
"avx512bw","KSHIFTRD imm, K, K","turbo0","1101287865","0","0"
"avx512bw","KSHIFTRQ imm, K, K","turbo0","1103048585","0","0"
"avx512f","KSHIFTRW imm, K, K","turbo0","1101250519","0","0"
"avx512dq","KTESTB K, K","turbo0","1099981579","0","0"
"avx512bw","KTESTD K, K","turbo0","1099507369","0","0"
"avx512bw","KTESTQ K, K","turbo0","1099897049","0","0"
"avx512dq","KTESTW K, K","turbo0","1100175936","0","0"
"avx512f","KUNPCKBW K, K, K","turbo0","1118137726","0","0"
"avx512bw","KUNPCKDQ K, K, K","turbo0","1124753057","0","0"
"avx512bw","KUNPCKWD K, K, K","turbo0","1119095648","0","0"
"avx512dq","KXNORB K, K, K","turbo0","1116180699","0","0"
"avx512bw","KXNORD K, K, K","turbo0","1116168427","0","0"
"avx512bw","KXNORQ K, K, K","turbo0","1116163255","0","0"
"avx512f","KXNORW K, K, K","turbo0","1115788166","0","0"
"avx512dq","KXORB K, K, K","turbo0","1115762636","0","0"
"avx512bw","KXORD K, K, K","turbo0","1115085055","0","0"
"avx512bw","KXORQ K, K, K","turbo0","1116355867","0","0"
"avx512f","KXORW K, K, K","turbo0","1116397979","0","0"
"avx512f","VADDPD X, X, K, X","turbo0","1222830560","0","0"
"avx512f","VADDPD Y, Y, K, Y","turbo0","1223456702","0","0"
"avx512f","VADDPD Z, Z, K, Z","turbo2","4414225","41722","1161301113"
"avx512f","VADDPD mem, X, K, X","turbo0","1319454427","0","0"
"avx512f","VADDPD mem, Y, K, Y","turbo0","1320179531","0","0"
"avx512f","VADDPD mem, Z, K, Z","turbo1","4341720","1189507423","0"
"avx512f","VADDPS X, X, K, X","turbo0","1223618869","0","0"
"avx512f","VADDPS Y, Y, K, Y","turbo0","1222675365","0","0"
"avx512f","VADDPS Z, Z, K, Z","turbo2","4178653","39951","1208722650"
"avx512f","VADDPS mem, X, K, X","turbo0","1319803625","0","0"
"avx512f","VADDPS mem, Y, K, Y","turbo0","1319947301","0","0"
"avx512f","VADDPS mem, Z, K, Z","turbo1","4272372","1234953230","0"
"avx512f","VADDSD X, X, K, X","turbo0","1160412634","0","0"
"avx512f","VADDSD mem, X, K, X","turbo0","1319829087","0","0"
"avx512f","VADDSS X, X, K, X","turbo0","1160250778","0","0"
"avx512f","VADDSS mem, X, K, X","turbo0","1319850193","0","0"
"avx512f","VALIGND imm, X, X, K, X","turbo0","1067475893","0","0"
"avx512f","VALIGND imm, Y, Y, K, Y","turbo0","1167102285","0","0"
"avx512f","VALIGND imm, Z, Z, K, Z","turbo1","4232397","1166015192","0"
"avx512f","VALIGND imm, mem, X, K, X","turbo0","1109363463","0","0"
"avx512f","VALIGND imm, mem, Y, K, Y","turbo0","1235640025","0","0"
"avx512f","VALIGND imm, mem, Z, K, Z","turbo1","4281204","1191406229","0"
"avx512f","VALIGNQ imm, X, X, K, X","turbo0","1067936384","0","0"
"avx512f","VALIGNQ imm, Y, Y, K, Y","turbo0","1168232093","0","0"
"avx512f","VALIGNQ imm, Z, Z, K, Z","turbo1","4134542","1177950838","0"
"avx512f","VALIGNQ imm, mem, X, K, X","turbo0","1109024852","0","0"
"avx512f","VALIGNQ imm, mem, Y, K, Y","turbo0","1235658424","0","0"
"avx512f","VALIGNQ imm, mem, Z, K, Z","turbo1","4312524","1175470467","0"
"avx512dq","VANDNPD X, X, K, X","turbo0","1095454120","0","0"
"avx512dq","VANDNPD Y, Y, K, Y","turbo0","1095760906","0","0"
"avx512dq","VANDNPD Z, Z, K, Z","turbo1","4592742","1093908542","0"
"avx512dq","VANDNPD mem, X, K, X","turbo0","1112252895","0","0"
"avx512dq","VANDNPD mem, Y, K, Y","turbo0","1112179412","0","0"
"avx512dq","VANDNPD mem, Z, K, Z","turbo1","4509735","1097529010","0"
"avx512dq","VANDNPS X, X, K, X","turbo0","1093258578","0","0"
"avx512dq","VANDNPS Y, Y, K, Y","turbo0","1095595147","0","0"
"avx512dq","VANDNPS Z, Z, K, Z","turbo1","4678811","1078345336","0"
"avx512dq","VANDNPS mem, X, K, X","turbo0","1112837096","0","0"
"avx512dq","VANDNPS mem, Y, K, Y","turbo0","1112416343","0","0"
"avx512dq","VANDNPS mem, Z, K, Z","turbo1","4033706","1097480272","0"
"avx512dq","VANDPD X, X, K, X","turbo0","1105163238","0","0"
"avx512dq","VANDPD Y, Y, K, Y","turbo0","1108817313","0","0"
"avx512dq","VANDPD Z, Z, K, Z","turbo1","4069629","1093854548","0"
"avx512dq","VANDPD mem, X, K, X","turbo0","1113878928","0","0"
"avx512dq","VANDPD mem, Y, K, Y","turbo0","1107689182","0","0"
"avx512dq","VANDPD mem, Z, K, Z","turbo1","4102006","1112254121","0"
"avx512dq","VANDPS X, X, K, X","turbo0","1107512104","0","0"
"avx512dq","VANDPS Y, Y, K, Y","turbo0","1095503436","0","0"
"avx512dq","VANDPS Z, Z, K, Z","turbo1","4169859","1091245386","0"
"avx512dq","VANDPS mem, X, K, X","turbo0","1112644561","0","0"
"avx512dq","VANDPS mem, Y, K, Y","turbo0","1112312640","0","0"
"avx512dq","VANDPS mem, Z, K, Z","turbo1","4738995","1102796123","0"
"avx512f","VBLENDMPD X, X, K, X","turbo0","1069201293","0","0"
"avx512f","VBLENDMPD Y, Y, K, Y","turbo0","1068676370","0","0"
"avx512f","VBLENDMPD Z, Z, K, Z","turbo1","4249851","1072089015","0"
"avx512f","VBLENDMPD mem, X, K, X","turbo0","1091396962","0","0"
"avx512f","VBLENDMPD mem, Y, K, Y","turbo0","1092197496","0","0"
"avx512f","VBLENDMPD mem, Z, K, Z","turbo1","4212208","1089377522","0"
"avx512f","VBLENDMPS X, X, K, X","turbo0","1068957334","0","0"
"avx512f","VBLENDMPS Y, Y, K, Y","turbo0","1069087103","0","0"
"avx512f","VBLENDMPS Z, Z, K, Z","turbo1","4218141","1076668195","0"
"avx512f","VBLENDMPS mem, X, K, X","turbo0","1091593884","0","0"
"avx512f","VBLENDMPS mem, Y, K, Y","turbo0","1091172175","0","0"
"avx512f","VBLENDMPS mem, Z, K, Z","turbo1","4253963","1097490032","0"
"avx512dq","VBROADCASTF32X2 X, K, Y","turbo0","1111246779","0","0"
"avx512dq","VBROADCASTF32X2 X, K, Z","turbo1","4225398","1154480646","0"
"avx512dq","VBROADCASTF32X2 mem, K, Y","turbo0","1109405678","0","0"
"avx512dq","VBROADCASTF32X2 mem, K, Z","turbo1","4001664","1099980957","0"
"avx512f","VBROADCASTF32X4 mem, K, Y","turbo0","1108412583","0","0"
"avx512f","VBROADCASTF32X4 mem, K, Z","turbo1","5298856","1099905501","0"
"avx512dq","VBROADCASTF32X8 mem, K, Z","turbo1","4333317","1099950313","0"
"avx512dq","VBROADCASTF64X2 mem, K, Y","turbo0","1108588992","0","0"
"avx512dq","VBROADCASTF64X2 mem, K, Z","turbo1","4133600","1100007995","0"
"avx512f","VBROADCASTF64X4 mem, K, Z","turbo1","4258251","1099718664","0"
"avx512dq","VBROADCASTI32X2 X, K, X","turbo0","1109674297","0","0"
"avx512dq","VBROADCASTI32X2 X, K, Y","turbo0","1111133812","0","0"
"avx512dq","VBROADCASTI32X2 X, K, Z","turbo1","4415721","1148987510","0"
"avx512dq","VBROADCASTI32X2 mem, K, X","turbo0","1108356102","0","0"
